	reco_1	reco_2	reco_3	reco_4	reco_5	MSE_1	MSE_2	MSE_3	MSE_4	MSE_5	nb1	nb2	nb3	nb4	nb5	id	titre
103	1255.0	6727.0	4642.0	131.0	6944.0	16.0	0.0	12.75	0.0	0.0	2.0	0.0	2.0	0.0	0.0	103	Lucky Luke, tome 13 : Le Juge
104	80.0	161.0	286.0	301.0	104.0	23.0	9.0	45.626147701127614	29.75	0.0	8.0	10.0	6.0	6.0	22.0	104	Gaston, Tome 9 : Le cas Lagaffe
105	105.0	110.0	112.0	120.0	151.0	0.0	21.0	18.25	18.19431712353244	30.571886128030005	16.0	5.0	5.0	3.0	4.0	105	Lucky Luke, tome 3 : Dalton City
106	5527.0	4830.0	2018.0	5938.0	2084.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106	Les Vieux Fourneaux, tome 2 : Bonny and Pierrot
107	80.0	161.0	286.0	301.0	104.0	21.75	9.0	25.12614770112761	4.75	18.0	3.0	5.0	6.0	5.0	5.0	107	Gaston, tome 6 : Des gaffes et des dégats
108	9552.0	7919.0	1893.0	3145.0	3293.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108	Les Schtroumpfs, tome 11 : Les Schtroumpfs olympiques
109	894.0	2229.0	565.0	9411.0	5370.0	0.0	0.0	71.93373185530544	12.75	0.0	0.0	0.0	15.0	1.0	2.0	109	L'adoption, tome 1 : Qinaya
110	105.0	110.0	112.0	120.0	151.0	21.0	0.0	27.5	31.305682876467564	11.25	5.0	13.0	5.0	4.0	1.0	110	Lucky Luke, tome 10 : L'Héritage de Rantanplan
111	61.0	10481.0	7205.0	84.0	3271.0	47.52485159903175	0.0	0.0	20.274851599031745	0.0	8.0	0.0	0.0	6.0	0.0	111	Gaston, tome 16 : Gaffes, bévues et boulettes
112	105.0	110.0	112.0	120.0	151.0	18.25	27.5	0.0	28.69431712353244	7.0	5.0	5.0	10.0	4.0	1.0	112	Lucky Luke, tome 13 : L'Empereur Smith
113	155.0	165.0	261.0	298.0	416.0	52.0	87.40489674244391	33.25	41.25	12.0	17.0	20.0	13.0	12.0	14.0	113	Lanfeust de Troy, tome 2 : Thanos l'incongru
114	1527.0	10672.0	5173.0	5635.0	5689.0	3.75	0.0	0.0	9.0	7.0	2.0	0.0	0.0	2.0	1.0	114	Astérix, tome 35 : Astérix chez les Pictes
115	2935.0	9036.0	2390.0	4024.0	6856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115	Spirou et Fantasio, tome 15 : Z comme Zorglub
116	129.0	292.0	311.0	336.0	502.0	49.5	58.75	25.75	12.0	22.0	7.0	7.0	3.0	3.0	8.0	116	Lucky Luke, tome 30 : Calamity Jane
117	239.0	169.0	523.0	1843.0	485.0	7.0	4.25	18.0	0.0	9.0	5.0	3.0	3.0	1.0	3.0	117	Spirou et Fantasio, tome 5 : Les Voleurs du Marsupilami
118	83.0	90.0	138.0	202.0	264.0	35.75	26.75	9.0	15.0	13.75	5.0	6.0	1.0	2.0	2.0	118	Lucky Luke, tome 6 : Canyon Apache
119	1403.0	11290.0	7847.0	10064.0	6262.0	31.460752727274347	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	119	Les Blondes, Tome 1 :
120	105.0	110.0	112.0	120.0	151.0	18.19431712353244	31.305682876467564	28.69431712353244	0.0	11.25	3.0	4.0	4.0	12.0	1.0	120	Lucky Luke, tome 9 : Le Grand duc
121	166.0	1196.0	6250.0	5413.0	2896.0	256.31679982280684	46.10092857073379	0.0	0.0	0.0	75.0	12.0	0.0	0.0	0.0	121	L'Arabe du Futur, tome 3
122	164.0	2360.0	9391.0	6265.0	6302.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	122	Boule et Bill, tome 19 : Globe-Trotters
123	3172.0	2134.0	6476.0	9864.0	735.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123	Spirou et Fantasio, tome 6 : La Corne de rhinocéros
124	96.0	124.0	163.0	8444.0	1729.0	96.5	0.0	101.08700821306026	0.0	0.5131508396707467	24.0	25.0	22.0	1.0	1.0	124	Largo Winch, tome 3 : O.P.A.
125	729.0	7898.0	11167.0	5111.0	1139.0	35.75	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	125	Les vieux fourneaux, tome 4 : La magicienne
126	141.0	357.0	2693.0	3546.0	8079.0	59.0	59.94327166419984	0.0	0.0	0.0	20.0	19.0	0.0	0.0	0.0	126	Les Passagers du vent , Tome 2 : Le ponton
127	1078.0	2093.0	1196.0	5690.0	2557.0	7.0	51.0	34.0	20.25	38.25	2.0	8.0	5.0	2.0	7.0	127	Les vieux fourneaux, tome 3 : Celui qui part
128	98.0	182.0	185.0	128.0	4818.0	140.02824178009533	98.95540486515436	144.14342413421872	0.0	0.0	23.0	21.0	25.0	27.0	0.0	128	XIII, tome 6 : Le Dossier Jason Fly
129	129.0	292.0	311.0	336.0	502.0	0.0	31.0	30.0	16.0	31.5	15.0	4.0	2.0	1.0	6.0	129	Lucky Luke, tome 31 : Tortillas pour les Dalton
130	9505.0	6581.0	4308.0	6300.0	10241.0	3.25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	130	Lucky Luke, tome 14 : Le Fil qui chante
131	103.0	1255.0	6727.0	10044.0	4642.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	1.0	0.0	131	Blacksad, tome 5 : Amarillo
